% Model,3D透声调参.mph
% Version,COMSOL 6.1.0.252
% Date,"Nov 22 2024, 17:37"
% Table,表格 1 - 全局计算 1
% freq (Hz),abs(tran)^2 (1)
200,0.9349782521327674
240,0.9118786678983934
280,0.8902090542100165
320,0.8691105375949513
360,0.8437487016419916
400,0.8155774626839254
440,0.7917058517631655
480,0.7747754126910096
520,0.7608959057488454
560,0.7480904834336702
600,0.7400985358880029
640,0.739098257645267
680,0.7423746282343732
720,0.747534331267188
760,0.7545442469476948
800,0.76538973922966
840,0.7821967928940184
880,0.8018957922981294
920,0.8222304817253419
960,0.8470323056739786
1000,0.8751406724032531
1040,0.9031627453822949
1080,0.9311071402779671
1120,0.9544039381576178
1160,0.9740496702601932
1200,0.99251315372573
1240,1.000650051698375
1280,1.000033018239395
1320,0.9923481776053942
1360,0.9753653629402717
1400,0.9542837866955938
1440,0.9334670343393778
1480,0.9270378922695897
1520,0.9307310673891199
1560,0.9408437257650551
1600,0.9578299089453772
1640,0.8431953703913458
1680,0.650877443340324
1720,0.3563488226584516
1760,0.1395735066566525
1800,0.057611411528654566
1840,0.022612892293693086
1880,0.007452616399968296
1920,0.0022891446365593984
1960,5.853375059659033E-4
2000,1.405200134447714E-4
2040,5.506930780605485E-5
2080,7.997916093229366E-5
2120,2.6994317130856794E-4
2160,6.576302632635056E-4
2200,0.004810028814427528
2240,0.003448715225959591
2280,0.03293150773302181
2320,0.12671761021329905
2360,0.020652650424311372
2400,0.5963693685152202
2440,0.5364122986365665
2480,0.28866374566122205
2520,0.15675565331059083
2560,0.08912761763620897
2600,0.06000529629024272
2640,0.0443967936224837
2680,0.05302412269708755
2720,0.05539219854733554
2760,0.07221198199865536
2800,0.04601277226303457
2840,0.04474199820915169
2880,0.06604256211771786
2920,0.09979951427472128
2960,0.08764292937227597
3000,0.060334255824351694
3040,0.06347104053654327
3080,0.08954594792794618
3120,0.020116925253694455
3160,0.034695512590893804
3200,0.024261809239902142
3240,5.401470452391047E-4
3280,0.0029571389195479896
3320,0.003784200823869866
3360,0.007586746066589553
3400,0.002221203972542417
3440,0.0058881466958631305
3480,0.011877031920085625
3520,0.007238559994874082
3560,0.0031404771047717855
3600,0.0019635933710991527
3640,4.839952339233516E-4
3680,0.001012491497747525
3720,0.0015045071815329514
3760,0.04981655168742058
3800,0.00696610537331616
3840,4.0359075077301066E-4
3880,0.005198147765356215
3920,0.003395491456692577
3960,3.789473911827686E-5
4000,9.066168062252597E-4
4040,2.2032268566222322E-4
4080,4.103620394027233E-5
4120,7.624360789152291E-4
4160,0.001007218225204017
4200,0.014252494413284331
4240,0.4562721920379152
4280,0.0035738919598305424
4320,0.014452227013345567
4360,0.014227205868917632
4400,8.870204836330599E-4
4440,0.001437186619399684
4480,0.026144365850207792
4520,0.08060299217148689
4560,0.014087337843274693
4600,0.01142795570362802
4640,0.034535856722081267
4680,0.019003243068142942
4720,0.5228233913274419
4760,0.04123150360055767
4800,0.02526502788015347
4840,0.1302957203550297
4880,0.02946343017054271
4920,0.04033539680867779
4960,0.0013997132838619807
5000,0.03504441147816531
5040,0.05632167844144827
5080,0.032928171649044234
5120,0.05284322700387895
5160,0.2072547432584281
5200,0.10866973879898087
5240,0.10798599879816159
5280,0.0171404353878809
5320,0.14305524711128628
5360,0.02378062407634186
5400,0.031001480101810287
5440,0.023138002828417725
5480,0.028841016144606716
5520,0.035174276988870316
5560,0.021459597398212814
5600,0.023463636990121068
5640,0.05750048846163755
5680,0.02238529118549521
5720,0.03418945526227059
5760,0.040015409436952774
5800,0.013440588139001699
5840,0.09603790351863417
5880,0.06168223409968003
5920,0.029178645446653308
5960,0.03994794046720021
6000,0.0063815663417466474
6040,0.009708302912608357
6080,7.775704739085948E-4
6120,0.06254224430346055
6160,0.11482561636541386
6200,0.013029965484840405
6240,0.02789886542469109
6280,0.006092492760239908
6320,0.038653760126383205
6360,0.032385970078571934
6400,0.08880761563263102
6440,0.025116192318805738
6480,4.388443484919735E-4
6520,0.007642943199479116
6560,0.01553227843345307
6600,0.010493056922971975
6640,0.10038708337543707
6680,7.595331382419351E-4
6720,5.330592182899151E-4
6760,3.17172732114566E-4
6800,0.026400698938878878
6840,0.11040849165018898
6880,0.04874487026302921
6920,0.01157016069210976
6960,0.012920463614333015
7000,0.0022986182611841916
